Number,Name,Team,Primary_Position,Secondary_Position,Fpoints_avg_G,Fpoints_avg_min,Fpoints_pergame_rank,Fpoints_permin_rank,Zscore_Fpoints_avg_G,Zscore_Fpoints_avg_min
32,Chet Holmgren,OKC,C9,N/A,39.3,1.3367346938775513,40.0,31.0,0.5384153791221066,1.066591215666292
33,Dejounte Murray,NO,SG3,PG,42.49999999999999,1.1904761904761902,26.0,80.0,0.8995634251447318,0.3556802609829016
34,Bam Adebayo,MIA,C10,N/A,40.39999999999999,1.1882352941176468,36.0,81.0,0.6625600199423836,0.34478805483727387
35,Jalen Green,HOU,SG4,N/A,30.900000000000013,0.9747634069400636,92.0,207.0,-0.409598241687284,-0.6928234315528464
36,Kyrie Irving,DAL,PG14,SG,47.19999999999999,1.3485714285714283,13.0,28.0,1.4299996177404628,1.1241254045569449
37,Stephen Curry,GS,PG15,N/A,42.4,1.2966360856269112,27.5,38.0,0.8882775487065254,0.8716860360699272
38,Zion Williamson,NO,PF6,N/A,40.5,1.2857142857142858,35.0,42.0,0.6738458963805916,0.818599022172086
39,Jaylen Brown,BOS,SF4,SG,38.6,1.1522388059701494,44.0,103.0,0.45941424405465775,0.16982183298306733
40,Desmond Bane,MEM,SG5,SF,41.20000000000001,1.1976744186046515,33.0,73.0,0.752847031448042,0.39066830688673804
41,Lauri Markkanen,UTAH,PF7,SF,40.3,1.217522658610272,37.0,56.0,0.6512741435041771,0.48714359497620635
42,Jalen Williams,OKC,PF8,N/A,37.400000000000006,1.1948881789137382,54.0,75.0,0.3239837267961736,0.3771253793127541
43,Kawhi Leonard,LAC,SF5,PF,45.899999999999984,1.3381924198250723,20.0,30.0,1.2832832240437706,1.0736767069089794
44,Jamal Murray,DEN,PG16,N/A,42.3,1.3428571428571427,29.0,29.0,0.8769916722683182,1.0963502788855948
45,Coby White,CHI,PG17,SG,33.59999999999999,0.9205479452054792,72.0,258.0,-0.10487957785569645,-0.9563456525793164
46,Rudy Gobert,MIN,C11,N/A,38.20000000000001,1.1202346041055722,47.0,123.0,0.4142707383018305,0.014260705443081917
47,Mikal Bridges,NY,SF6,SG,32.79999999999999,0.9425287356321836,76.0,237.0,-0.19516658936135253,-0.8495047896992813
48,Miles Bridges,CHA,SF7,PF,36.9,0.9866310160427808,57.0,197.0,0.26755434460513755,-0.6351391730597195
49,Julius Randle,NY*,PF9,N/A,38.60000000000001,1.090395480225989,43.0,141.0,0.4594142440546585,-0.1307767423006439
50,D'Angelo Russell,LAL,PG18,SG,36.5,1.1162079510703362,60.0,128.0,0.2224108388523095,-0.005311433522424122
51,Jalen Johnson,ATL,PF10,N/A,37.2,1.1038575667655786,55.5,132.0,0.30141197391975916,-0.0653422918493959
52,Paul George,PHI,SF8,PF,40.7,1.2041420118343198,34.0,66.0,0.696417649257006,0.4221049944671507
53,Jonas Valanciunas,WSH,C12,N/A,,,,,,
54,Immanuel Quickley,TOR,PG19,SG,31.099999999999994,1.0650684931506849,88.0,148.0,-0.3870264888108719,-0.25388228585696326
55,Myles Turner,IND,C13,N/A,34.6,1.2814814814814814,68.0,44.0,0.007979186526375671,0.7980248550081217
56,Franz Wagner,ORL,SF9,PF,34.7,1.0676923076923075,65.5,147.0,0.019265062964582885,-0.24112884959638306
57,Kyle Kuzma,WSH,PF11,SF,36.7,1.125766871165644,59.0,116.0,0.24498259172872391,0.041151102690251136
58,Nic Claxton,BKN,C14,N/A,35.0,1.174496644295302,63.0,88.0,0.053122692279203715,0.2780093278974693
59,Fred VanVleet,HOU,PG20,N/A,43.2,1.1739130434782608,24.0,89.0,0.9785645602121823,0.2751726503413052
60,Jarrett Allen,CLE,C15,N/A,38.10000000000001,1.2018927444794956,48.0,69.0,0.40298486186362326,0.41117209986362646
61,Anfernee Simons,POR,SG6,PG,34.60000000000001,1.0058139534883723,67.0,186.0,0.007979186526376475,-0.5418976858577499
